Comment ID,Channel ID,Comment Create Timestamp,Price,Currency code,Super Thanks Identifier,Parent Comment ID,Post ID,Video ID,Comment Text,Price Tier ID,Top-Level Comment ID
UgzuUWLSvsI3XiaUxHx4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2023-10-04T06:05:58.810724+00:00,0,,,,,dWMtKhvRydQ,"{""text"":""Yes, Quang, I am listening to""}",,
UgwkjurMHCLqVLJb1A94AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2023-09-17T20:27:15.445685+00:00,0,,,,,cX7a9RDYqBQ,"{""text"":""the spongebob music sequence is underrated""}",,
UgzNnmTbyGa_KCIjc8R4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2023-09-09T16:04:00.102024+00:00,0,,,,,s5ll77FfYd4,"{""text"":""lovin this new era rap. 2020's shit""}",,
Ugxo1evoDuReIJuXXFx4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2023-07-07T06:39:13.702277+00:00,0,,,,,LPFXR4ER890,"{""text"":""4L cause there's level to this shit.""}",,
UgyncNRE2yx4bQrixxR4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2023-06-30T14:27:32.08262+00:00,0,,,,,THcGerAm-PA,"{""text"":""20 year old man in a juvenile facility? Correct me if I’m wrong, but aren’t those 18 and under?""}",,
Ugy5ibZlIokzmF1mh2V4AaABAg.9pT7Ne2JQ979rTCR_AVNF9,UCbClSOItOom1IT8ZLKnZYEA,2023-06-27T13:19:50.328255+00:00,0,,,Ugy5ibZlIokzmF1mh2V4AaABAg,,cl1FbEM5-3Y,"{""text"":""ohgeesy and fenix are both fire but ohgeesy has mainstream potential for the fact he makes hooks and melodies.when they’re together they’re unstoppable.""}",,Ugy5ibZlIokzmF1mh2V4AaABAg
UgzLOA4xIwY14AaEv_J4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2023-05-21T05:51:53.452932+00:00,0,,,,,VhvjpsR_t9U,"{""text"":""Quang, PLEASE bring back the goku feasts""}",,
UgyyrOcr7NZijyCgqJN4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2023-04-15T17:12:15.582505+00:00,0,,,,,U_IbIMUbh-k,"{""text"":""TIED THEY DEAD FLIES""}",,
UgwpgoIavf6x2TsqTAR4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2023-04-12T02:48:24.428803+00:00,0,,,,,x3dzt9jqng0,"{""text"":""I ain’t gone front you be fuckin me up with the shit you doin""}",,
Ugww2-LcVZsV6DjlUqp4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2023-04-08T22:33:24.803129+00:00,0,,,,,2j8vTDo-0u8,"{""text"":""haven’t watched but ice spice gotta be #1""}",,
UgyuPRMYUFip9KVily94AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2023-04-07T05:16:48.891962+00:00,0,,,,,n5l5sobOc-U,"{""text"":""Wait till he drops Who I Am""}",,
UgxkLFRmBvlu_1F44jR4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2023-04-05T18:02:11.50314+00:00,0,,,,,KSYhGgYPZxU,"{""text"":""this shit hard""}",,
UgwkIDTUlz9IA776fKF4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2023-03-26T01:43:21.937056+00:00,0,,,,,HDpzaHSIuIE,"{""text"":""fire""}",,
Ugz1zHLgCzyeyp9jpr94AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2023-03-15T03:18:36.697746+00:00,0,,,,,f4EXpaZYzt8,"{""text"":""SHOUT OUT TO THE 6 🤞""}",,
Ugz5do0CmATStA6yWNZ4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2023-03-13T14:13:56.832872+00:00,0,,,,,75gWKkKBi0U,"{""text"":""i’m in a suit and tie she tearin up my suit , tearing my suit""},{""text"":""\n""},{""text"":""that sound fruitful , im not molasses, see bout what this honeydew""}",,
UgzQilT9d3aTgqv5-JN4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2023-03-13T13:34:30.831909+00:00,0,,,,,xUqDb-p-Ksw,"{""text"":""They said  I should make a Yeezy diss but I don’t fucking play. ""},{""text"":""\n""},{""text"":""Served a cracker corn starch cause I don’t fuck with Yay (Ye)""}",,
Ugxn68GYvCHGrFU9Nyh4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2023-02-08T14:32:29.589079+00:00,0,,,,,IWtB9zDj82A,"{""text"":""the eye rolls when he goes BANKAI on the BEAT""}",,
UgwTC5V4jH_GBhUkTLN4AaABAg.9kX5sFbLLMD9lCR-rlJRLx,UCbClSOItOom1IT8ZLKnZYEA,2023-01-22T21:51:40.400831+00:00,0,,,UgwTC5V4jH_GBhUkTLN4AaABAg,,jDvz1ZRXTgQ,"{""text"":""she""}",,UgwTC5V4jH_GBhUkTLN4AaABAg
UgyyQdnsCnVO9xC_e5Z4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2022-12-24T15:57:31.274251+00:00,0,,,,,IWKoGg6K808,"{""text"":""IDGAF what nobody say, DDG is the goat. been watching since it g ma reaction and the growth is amazing. 💪 ✊""}",,
UgwL3qoYt4-JB7qp2Ul4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2022-12-10T03:07:06.030896+00:00,0,,,,,rvn3xBEs3_0,"{""text"":""With his glasses on his head still 💪""}",,
