Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Video ID,Comment Text,Top-Level Comment ID
Ugj-SJgMAg8vJngCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-05-05T19:23:20.976+00:00,0,,Q_HjL34ImuE,"{""text"":""I think you're the 3rd missing hodgetwin""}",
UghADo1DZuxmwngCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-04-26T06:50:25.829+00:00,0,,JdgLhMtBwUY,"{""text"":""Damn rip, I been watchin you since 2006 dude""}",
UgjxWKYtdrhS1HgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-04-09T08:14:55.516+00:00,0,,KNwp8wEvgSg,"{""text"":""1) Runescape's community has spastic and is cool""},{""text"":""\n""},{""text"":""2) Your luring vids were awesome and entertaining... idk why people were hating ""},{""text"":""\n""},{""text"":""3) Keep doing you man, you should feed off the flame I like it when I get flamed""}",
UgjcDCZ3WqiUOHgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-04-07T03:39:52.214+00:00,0,,6qs_laE4Ed8,"{""text"":""Does this dude look like Wiz in the thumbnail or am I trippin?""}",
Uggsk9U66Frov3gCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-04-06T03:12:42.406+00:00,0,,GtG80XG4Lbg,"{""text"":""That girl in the back be feelin you bruh... keep up the good work""}",
Ugh-RD7ZKH4wIngCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-03-11T18:06:49.264+00:00,0,,JSdPZD67S1w,"{""text"":""Dude you are a fucking god!!! holy shit them runescape mechanics are beast""}",
UggoK1FwHRWe9ngCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-02-13T17:41:47.095+00:00,0,,zcangCJrbSI,"{""text"":""The Life Obama Promised...""}",
UgjfZrBcUZ4CJHgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-01-11T18:42:10.161+00:00,0,,f1VZbyd5hYI,"{""text"":""Can you please remake Mac Miller's Weekend instrumental?? Your remakes are dope, would be greatly appreciated !""}",
Ugj4Sb6Zr4StjngCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2015-08-03T15:09:43.389+00:00,0,,niITla7DBq4,"{""text"":""B""}",
Ugi7bImM-CnxV3gCoAEC.7-H0Z7--J1V75Ve6Ta2gfX,UCbClSOItOom1IT8ZLKnZYEA,2015-07-09T19:48:15.672831+00:00,0,Ugi7bImM-CnxV3gCoAEC,NKh8IKAqTRA,"{""text"":""Timmy G""},{""text"":"" Well played.""}",Ugi7bImM-CnxV3gCoAEC
Ugh3iP-arlTwEHgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2015-06-25T18:07:18.847+00:00,0,,JdEYIFYngzQ,"{""text"":""Digging this song. If any of you ever even tried to produce and make a rap song, you would understand that making something like this takes time, effort, and is harder than it looks. Rap is a form of art, and art is something you can't do right or wrong. If you don't like it, then it's all good. If you do, more power to you. You can't compare this style of rap with Kendrick's because if you were to put Kendrick on a mainstream song, he would sound bad. (If you don't believe me, listen to Fuckin' Problems and his verse is just something that isn't Kendrick.) Just appreciate what this guy is doing, and that is showing that he can do different styles of rap whether it be straight lyrical chill shit to this banger type flow. Even in this banger type flow you hear lyricism, \""I'm channeling the matador and I'm sensing all your bullshit! You must think I'm analog pushing all my buttons they don't do shit!\""""}",
UgjC-xm7xrGtjXgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2015-03-14T04:13:38.044+00:00,0,,EkLlAcAwcQQ,"{""text"":""San Jose shark shoes""}",
UgiC9iEnvKm0JHgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2015-03-06T16:16:37.227+00:00,0,,UGRSnuYhEvQ,"{""text"":""Nice place and pickups. We need more successful young trap lords ""}",
UgiRTYZeFw8_EHgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2015-01-31T09:49:03.537+00:00,0,,POAvYCW-5do,"{""text"":""How blazed were you to think of all of this haha""}",
UggR2n5FZSpYq3gCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2015-01-18T18:57:37.716+00:00,0,,Ksekm7JYzGw,"{""text"":""Dem powder blue 3s doe ""}",
Ugh5fx5uF-230ngCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2015-01-09T17:54:29.498+00:00,0,,cuA3tS-oKVs,"{""text"":""that hodgetwins reference... LOL that's good.... that's real good...""}",
Ugh-WCK_wsbvqHgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2014-12-13T09:26:52.756+00:00,0,,kQXkezpHwhQ,"{""text"":""pause AT ""},{""text"":""0:08"",""videoLink"":{""externalVideoId"":""kQXkezpHwhQ"",""startTimeSeconds"":8}}",
